validation_record_id,corpus_id,title,authors,year,source_title_or_issuer,document_type,doi,url,language,screening_text,full_text_status,final_category,reviewer_note
PEV-011,CWC-3BA5EE36CD77,Suspended sediment causes feeding current arrests in situ in the glass sponge Aphrocallistes vastus,Nathan J.R. Grant | Eugueni Matveev | A Kahn | Sally P. Leys,2018,Marine Environmental Research,article,10.1016/j.marenvres.2018.02.020,https://doi.org/10.1016/j.marenvres.2018.02.020,en,"Bottom-contact trawling generates large, moving clouds of suspended sediments that can alter the behaviour of organisms adjacent to trawl paths. While increased suspended sediment concentrations (SSCs) are known to cause glass sponges to arrest filtration in lab studies, the response of sponges to sediment in situ is not yet known. Here we describe arrest behaviours in response to increased SSCs recorded from the glass sponge Aphrocallistes vastus at the Fraser Ridge sponge reef in the Strait of Georgia, British Columbia, Canada. We identified 23 arrests of the sponges' feeding current during experimental disturbances that raised SSC to between 10 and 80mg(l-1). Single arrests lasted 4.25 +/- 1.3 min ( +/- SD) and were characterized by a 2 cm s(-1) reduction in feeding current lasting 0.5-3 min (mean 1.91 +/- 0.97 min, n = 19). In comparison, coughing arrests varied in length (31 +/- 22.89 min) with arrest phases lasting 4-15 min (10.46 +/- 5.26 min, n = 4). Coughing arrests showed a distinctive on/off pattern as sponge filtration returned to normal excurrent velocities, distinguishing them from single arrests. The onset of both arrest types was correlated with elevated SSCs (r = -0.83 to -0.92). Natural SSCs at the reef averaged 4.4 mgl(-1) and were correlated with tidal flow (r = 0.86 to 0.89). The combined data provide evidence that suspended sediments can stop glass sponge feeding in situ even at SSCs below those known to be generated by trawling.",NOT_IDENTIFIED,,
PEV-012,CWC-6CB118B28AB2,A comparison between boat-based and diver-based methods for quantifying coral bleaching,David G. Zawada | Rob Ruzicka | Michael A. Colella,2015,Journal of Experimental Marine Biology and Ecology,article,10.1016/j.jembe.2015.02.017,https://doi.org/10.1016/j.jembe.2015.02.017,en,"Recent increases in both the frequency and severity of coral bleaching events have spurred numerous surveys to quantify the immediate impacts and monitor the subsequent community response. Most of these efforts utilize conventional diver-based methods, which are inherently time-consuming, expensive, and limited in spatial scope unless they deploy large teams of scientifically-trained divers. In this study, we evaluated the effectiveness of the Along-Track Reef Imaging System (ATRIS), an automated image-acquisition technology, for assessing a moderate bleaching event that occurred in the summer of 2011 in the Florida Keys. More than 100,000 images were collected over 2.7 km of transects spanning four patch reefs in a 3-h period. In contrast divers completed 18, 10-m long transects at nine patch reefs over a 5-day period. Corals were assigned to one of four categories: not bleached, pale, partially bleached, and bleached. The prevalence of bleaching estimated by ATRIS was comparable to the results obtained by divers, but only for corals >41 cm in size. The coral size-threshold computed for ATRIS in this study was constrained by prevailing environmental conditions (turbidity and sea state) and, consequently, needs to be determined on a study-by-study basis. Both ATRIS and diver-based methods have innate strengths and weaknesses that must be weighed with respect to project goals. Published by Elsevier B.V.",NOT_IDENTIFIED,,
PEV-013,CWC-8A7D3E851AE3,Sediment tolerance of two different morphotypes of the deep-sea coral Lophelia pertusa from the Gulf of Mexico,SD Brooke | MW Holmes | CM Young,2009,Marine Ecology Progress Series,article,10.3354/meps08191,https://doi.org/10.3354/meps08191,en,"On the upper slope of the northern Gulf of Mexico, topographic features are often associated with authigenic carbonate, which provides hard substrate for sessile benthic communities. At depths > 300 m, large Lophelia pertusa colonies frequently occur on these carbonate outcroppings. Surficial sediments at these depths are dominated by fine-grained particulates, which are readily resuspended during the episodic high current events that have been documented for the Gulf of Mexico. Colonies of L. pertusa found in the deep Gulf of Mexico exhibit 2 distinct growth forms: the very heavily calcified 'brachycephala' and the more fragile 'gracilis'. The objective of this research was to determine the tolerance of these 2 morphotypes to suspended sediment and to complete burial, using sediment collected from the study region. Results demonstrated that, although both morphotypes of L. pertusa can tolerate fairly heavy sediment conditions, mortality increases rapidly with longer burial or higher sediment loads.",OPEN_ACCESS_PDF,,
PEV-014,CWC-11C8578A23E4,Sediment and Turbidity Associated with Offshore Dredging Increase Coral Disease Prevalence on Nearby Reefs,F. Joseph Pollock | Joleah B. Lamb | Stuart N. Field | Scott F. Heron | Britta Schaffelke | George Shedrawi | David G. Bourne | Bette L. Willis,2014,PLoS ONE,article,10.1371/journal.pone.0102498,https://doi.org/10.1371/journal.pone.0102498,en,"In recent decades, coral reef ecosystems have declined to the extent that reefs are now threatened globally. While many water quality parameters have been proposed to contribute to reef declines, little evidence exists conclusively linking specific water quality parameters with increased disease prevalence in situ. Here we report evidence from in situ coral health surveys confirming that chronic exposure to dredging-associated sediment plumes significantly increase the prevalence of white syndromes, a devastating group of globally important coral diseases. Coral health surveys were conducted along a dredging-associated sediment plume gradient to assess the relationship between sedimentation, turbidity and coral health. Reefs exposed to the highest number of days under the sediment plume (296 to 347 days) had two-fold higher levels of disease, largely driven by a 2.5-fold increase in white syndromes, and a six-fold increase in other signs of compromised coral health relative to reefs with little or no plume exposure (0 to 9 days). Multivariate modeling and ordination incorporating sediment exposure level, coral community composition and cover, predation and multiple thermal stress indices provided further confirmation that sediment plume exposure level was the main driver of elevated disease and other compromised coral health indicators. This study provides the first evidence linking dredging-associated sedimentation and turbidity with elevated coral disease prevalence in situ. Our results may help to explain observed increases in global coral disease prevalence in recent decades and suggest that minimizing sedimentation and turbidity associated with coastal development will provide an important management tool for controlling coral disease epizootics.",OPEN_ACCESS_PDF,,
PEV-015,CWC-8F401C5284CD,"Influence of setting, sieve size, and sediment depth on multivariate and univariate assemblage attributes of coral reef-associated mollusc death assemblages from the Gulf of Aqaba",Imelda M. Hausmann | Hubert Domanski | Martin Zuschin,2018,Facies,article,10.1007/s10347-018-0530-7,https://doi.org/10.1007/s10347-018-0530-7,en,,NOT_IDENTIFIED,,
PEV-016,CWC-9D88361B731D,"Metabolic responses of the deep-water sponge Geodia barretti to suspended bottom sediment, simulated mine tailings and drill cuttings",Tina Kutti | Raymond J. Bannister | Jan Helge Fosså | Cathinka M. Krogness | Ingrid Tjensvoll | Guldborg Søvik,2015,Journal of Experimental Marine Biology and Ecology,article,10.1016/j.jembe.2015.07.017,https://doi.org/10.1016/j.jembe.2015.07.017,en,"Northeast Atlantic sponge beds are recognized as local hotspots for biodiversity and nutrient cycling. Despite their important functional role little is known about their sensitivity to effluents from the expanding hydrocarbon-, mining- and bottom trawling industry. Here, data on physiological and biological responses of the common demosponge Geodia barretti to short (4 h) and long-term (50 day) cyclic exposure of suspended particles are presented. The laboratory study showed that 4 hour pulse exposures with crushed rock particles at 500 mg l(-1) caused a 50% drop in oxygen consumption but with a quick recovery to pre-exposure oxygen consumption once suspended sediment loads returned to background levels. Long-term cyclic exposure (12 h each 24 h) for 29 days caused a permanent drop in oxygen consumption with 60% in sponges exposed to 50 mg l(-1) of crushed rock but with no apparent effect on the energy content of the sponge. Oxygen consumption and energy content of sponges exposed to natural bottom sediments at the same concentration remained unchanged. In conclusion, G. barretti appears to have well developed mechanisms to resist sediment stress, however, the study demonstrated that operations releasing large amounts of suspended crushed rock such as exploration drilling and submarine tailings disposal near sponge beds should be carefully planned to avoid long-term losses of benthic ecosystem functions, such as organic matter re-mineralization. (C) 2015 Elsevier B.V. All rights reserved.",NOT_IDENTIFIED,,
PEV-017,CWC-9434EFF6C889,Effects of an Offshore Drilling Mud on Selected Corals: ABSTRACT,Jack H. Thompson,1979,AAPG Bulletin,article,10.1306/2f918068-16ce-11d7-8645000102c1865d,https://doi.org/10.1306/2f918068-16ce-11d7-8645000102c1865d,en,"Seven species of coral--Dichocoenia stokesii, Montastrea annularis, Agaricia agaricites, Acropora cervicornis, Porites furcata, P. astreodes, and P. divercata--were experimentally exposed to three concentrations of drilling mud obtained from an offshore oil well in the Gulf of Mexico. The whole mud, collected from the mud pit of a well at a drilling depth of 4,000 m, was diluted with seawater to produce concentrations of 100, 316, and 1,000 µL/L. Corals were exposed to each of the three concentrations and control seawater for 96 hours to observe behavioral response. Response to drilling-mud concentrations was measured as percent of polyps retracted. Some experiments were conducted in laboratory aquaria with Gulf Stream water, but the most significant experiments were conducted at Carysfort Reef, Florida Keys, using similar aquaria located in 3 m of water. Polyp behavior was determined with serial closeup photography which allowed counting of retracted, partially retracted, and nonretracted polyps in each colony. All species except Montastrea annularis and Agaricia agaricites survived exposure to 1,000-µL/L mud during the period of testing. In two tests with Acropora cervicornis, one group survived exposure to the mud and the other died. All other corals except dichocoenia stokesii and Porites divercata showed significant (p<0.05) polyp retraction during exposure to 100-µL/L mud concentration, whereas 316-µL/L mud was the minimum concentration which induced significant polyp retraction in Porites divercata. Polyps of Dichocoenia stokesii did not react to any of the three concentrations. End_of_Article - Last_Page 540------------",OPEN_ACCESS_PDF,,
PEV-018,CWC-5F5353A4D6EA,"Two new records of sponges from NW Atlantic: Iotroata acanthostylifera (Stephens, 1916) and Janulum spinispiculum (Carter, 1876).","P. Ríos | Alvariño, Lucía | F. Javier Murillo | M.M. Sacau-Cuadrado",2016,DIGITAL.CSIC (Spanish National Research Council (CSIC)),other,,http://hdl.handle.net/10261/327924,en,"NEREIDA, a Spanish-led multidisciplinary and international project with contribution from various NAFO contracting parties such as Canada, the UK, and Russia, was initiated in response to the UNGA Resolution 61/105.&#13;\nThe main objective of the NEREIDA project is to gather information for the identification and delineation of VMEs in the NAFO Regulatory Area with special focus on those dominated by deep-water corals and sponges. This demarcation is a necessary step in the decision making process for the protection of these areas.&#13;\nThe NEREIDA data collection programme comprised six research cruises conducted between May and July of 2009 and June and August 2010, aboard the Spanish R/V Miguel Oliver. In 2009, surveys were conducted to the east, north and west of the Flemish Cap and Flemish Pass, whereas in 2010, surveys covered the area south of the Flemish Cap and along the slope of the Tail of the Grand Bank of Newfoundland.&#13;\nIn this work we present some results from the analysis of sponges samples collected by rock dredge during the NEREIDA survey programme (2009-2010). There are two new records in the NW Atlantic region: Janulum spinispiculum (Carter, 1876) with distribution in the Northeast Atlantic region: southern Portugal, Azores, Rockall Bank; Mediterranean Sea: Alboran and Ionian Seas, Canyon de la Cassidaigne; North Atlantic: Iceland; Arctic Ocean: Barents Sea, northern Norway and Spitzbergenand (Kelly et al., 2015) and Iotroata acanthostylifera (Stephens, 1916) cited only of Celtics Seas (van Soest, 2007).",OPEN_ACCESS_LANDING_PAGE,,
PEV-019,CWC-2CE5EB8EAB8A,Effects of drilling mud on the reef-building coral Montastrea annularis,Richard E. Dodge,1982,Marine Biology,article,10.1007/bf00394622,https://doi.org/10.1007/bf00394622,en,"The skeletal extension and corallite shape of individuals of the Caribbean and Atlantic reef-building coral M. annularis (Ellis and Solander) were measured after more than 6 wk continuous flow-through exposure in laboratory aquaria to treatments of 0, 1, 10 and 100-ppm (.mu.l l-1) drilling mud. Linear increase of the skeleton (extension rate) and fossa length were significantly depressed in the 100-ppm drilling mud impairs coral skeletal growth rate and possibly interferes with sediment rejection capability by lowering calical relief.",NOT_IDENTIFIED,,
PEV-020,CWC-C250678D6149,"SEQUENCE STRATIGRAPHIC AND PALEOECOLOGIC ANALYSIS OF AN ALBIAN CORAL-RUDIST PATCH REEF, ARIZONA, USA",Kelly E. Hattori | Charles Kerans | Rowan C. Martindale,2019,Palaios,article,10.2110/palo.2019.052,https://doi.org/10.2110/palo.2019.052,en,"Fossilized reefs can preserve critical information about changes in marine environments over a relatively short period of time. The interpretation of these changes is often hindered by the complexity of reef growth with respect to architecture, biotic zonation, and time. High-resolution mapping and data collection incorporating both sequence stratigraphical and paleoccological principles are needed to document the architectural complexity of reef development. To demonstrate this, we present a case study in which both principles are integrated to build a new stratigraphic framework for an Albian-aged rudist-coral patch reef outcrop (Paul Spur, Bisbee, AZ, USA). The dataset reveals that the outcrop preserves five stages of development: (1) initial shoal deposition; (2) pioneer reef growth; (3) reef diversification; (4) reef hiatus; and (5) rudist shoal development. These stages represent periods of deposition and reef growth within high-frequency transgressive-regressive sequences. Interpretations of sedimentological and paleoecological data are then used to demonstrate the variable influence of different environmental controls on reef growth. Prevailing wind and current direction act as higher order controls on overall reef architecture by influencing windward-leeward asymmetry. Fluctuations in relative water depth as well as sedimentation rate, source, and type is an important influence on reef community and growth habit. Though corals and rudists cohabited during much of the reef's history, corals dominated when water depth was greater and external sediment influx lesser, whereas rudists dominated in shallow water depths and during periods of high external sediment influx. This work demonstrates that detailed evaluation of stratigraphy and palcoccology, as well as careful consideration of timelines and heterogeneity, is essential for building an accurate stratigraphic framework that allows a more thorough understanding of processes driving reef growth.",NOT_IDENTIFIED,,
PEV-021,CWC-65546B3B817C,Incidence of ghost nets in the Tioman Island Marine Park of Malaysia,Alvin Chelliah | Sue Chen | Shahir Yaman | Roger G. Dolorosa,2024,The Palawan scientist,article,10.69721/tps.j.2024.16.1.04,https://doi.org/10.69721/tps.j.2024.16.1.04,en,"Ghost nets are major contributor to ocean pollution with extensive social, economic and environmental impacts. Ghost nets trap marine life, build up sediment, and smother and damage sensitive bottom habitats such as coral reefs and seagrass beds. Data on ghost nets are widely available for many coastal locations but there has been very limited information from Malaysia specifically Tioman Island. In 2015, Reef Check Malaysia started training local islanders to locate and remove ghost nets from reefs and beaches around Tioman Island. A reporting hotline was set up to gather information on ghost nets. Once vital information was gathered, the local islanders retrieved them and recorded the ghost nets and sent them for proper disposal. A total of 145 ghost nets weighing over 21 t were retrieved from Tioman Island from 2016 to 2022. The volume of ghost nets retrieved showed an increasing trend and were often found in March, April and September. The ghost nets originated from fishermen operating illegally inside the marine protected area (MPA) and legal fishermen operating outside the MPA. Ghost nets find their way to Tioman Island with strong currents and monsoonal winds. Most of the ghost nets retrieved were inside the MPA and on the western side of Tioman Island. Higher human population, shallower waters, shoreline morphology, dominant coral growth design and reef rugosity on the western side of Tioman Island are reasons for higher ghost nets sightings, thus retrieval and management efforts should focus on this side.",OPEN_ACCESS_PDF,,
PEV-022,CWC-D81C3AA50091,Sedimentology of the coral reef ecosystem in and around the barrier islands of Chidabaranar district Tamilnadu,M. V. Mukesh,1997,Shodhganga,dissertation,,https://shodhganga.inflibnet.ac.in/handle/10603/63826,en,,NOT_IDENTIFIED,,
PEV-023,CWC-620A6B01FCC6,Evidence for morphology-induced sediment settlement prevention on the tubular sponge Haliclona urceolus,James J. Bell,2004,Marine Biology,article,10.1007/s00227-004-1429-0,https://doi.org/10.1007/s00227-004-1429-0,en,,NOT_IDENTIFIED,,
